Nome_Diagnostico;Total_Procedimentos;Percentual_do_Filtro;Valor_Total_Aprovado
F84.9 Transt globais NE do desenvolv;4499;32.28;43617.95
F84.0 Autismo infantil;2957;21.22;40591.5
F71.0 Mencao ausencia de ou compr minimo comport;1481;10.63;26169.27
F70.0 Mencao ausencia de ou compr minimo comport;1458;10.46;25762.86
F72.0 Mencao ausencia de ou compr minimo comport;212;1.52;3746.04
F84.8 Outr transt globais do desenvolv;338;2.43;3309.73
F83   Transt especificos misto do desenvolv;73;0.52;1289.91
F80.9 Transt NE do desenvolv da fala ou linguagem;255;1.83;613.63
F73.0 Mencao ausencia de ou compr minimo comport;27;0.19;477.09
F82   Transt especifico do desenvolv motor;142;1.02;467.72
F88   Outr transt do desenvolv psicologico;24;0.17;424.08
F84.1 Autismo atipico;30;0.22;415.05
F90.0 Disturbios da atividade e da atencao;98;0.7;371.18
F79.0 Mencao ausencia de ou compr minimo comport;20;0.14;353.4
F80   Transt especificos desenvolv fala linguagem;178;1.28;330.95
F05.9 Delirium NE;6;0.04;292.32
F70   Retardo mental leve;133;0.95;234.35
F81.9 Transt NE do desenvolv habilidades escolares;81;0.58;231.58
F70.1 Compr signif comport req vigilancia ou trat;12;0.09;212.04
F71.1 Compr signif comport req vigilancia ou trat;12;0.09;212.04
