Codigo_Estabelecimento;Nome_Estabelecimento;Total_Qtd_Produzida;Total_Qtd_Aprovada;Pct_Valor_Total;Valor_Total_Produzido;Valor_Total_Aprovado
2237601;HOSPITAL DE CLINICAS;666414.0;666414.0;4.52;20411855.22;20429372.52
2237253;IRMANDADE DA SANTA CASA DE MISERICORDIA DE PORTO ALEGRE;437997.0;437997.0;4.41;19925825.88;19925825.88
2237571;HOSPITAL NOSSA SENHORA DA CONCEICAO SA;1050909.0;1050909.0;4.02;18181953.03;18181953.03
2792907;SECRETARIA DA SAUDE;12423693.0;6733341.0;2.74;12684839.58;12360804.93
2693801;ASSOCIACAO HOSPITALAR VILA NOVA;440733.0;440733.0;2.18;9859013.67;9859013.67
2261057;HOSPITAL DE CLINICAS IJUI;114966.0;95100.0;1.84;8453368.5;8297889.69
2246988;HOSPITAL SAO VICENTE DE PAULO;222879.0;212427.0;1.79;8288901.63;8105656.89
2244306;HOSPITAL UNIVERSITARIO SANTA MARIA;300924.0;296679.0;1.73;8204236.83;7813788.36
2707918;FUNDACAO HOSPITALAR SANTA TEREZINHA DE ERECHIM;350496.0;311295.0;1.45;6966124.68;6545486.82
2223538;HOSPITAL GERAL;128055.0;128055.0;1.44;6521617.32;6521617.32
2246929;HOSPITAL DE CLINICAS;166047.0;162186.0;1.25;6023646.3;5670337.17
2232022;HOSPITAL CENTENARIO;90255.0;90255.0;1.24;5582038.95;5582038.95
2255936;HOSPITAL ANA NERY;95919.0;95919.0;1.23;5559245.13;5559245.13
2262568;HOSPITAL SAO LUCAS DA PUCRS;151803.0;151782.0;1.19;5361285.09;5361264.09
2786214;5 CRS CAXIAS DO SUL;2899677.0;1822992.0;1.18;5366709.87;5317389.69
2232014;HOSPITAL NOSSA SENHORA DAS GRACAS;304029.0;303579.0;1.14;5256467.94;5140605.12
2253054;SANTA CASA DE MISERICORDIA DE PELOTAS;93261.0;93258.0;1.04;4706631.0;4706618.7
2232995;SANTA CASA DO RIO GRANDE;213438.0;157098.0;1.04;5430223.65;4706256.9
2246597;6 CRS PASSO FUNDO;1674108.0;1033128.0;0.96;4471626.57;4347698.79
2261987;SANTA CASA DE CARIDADE DE BAGE;146424.0;132861.0;0.89;4149713.16;4031373.12
2223546;POMPEIA ECOSSISTEMA DE SAUDE;59214.0;59214.0;0.86;3868496.13;3868496.13
2227932;HOSPITAL BOM JESUS;97278.0;90225.0;0.83;3802620.99;3755208.0
2266474;HOSPITAL DE CARIDADE E BENEFICENCIA;83598.0;83583.0;0.77;3496698.15;3496683.15
2232049;HOSPITAL DOM JOAO BECKER;181782.0;181782.0;0.76;3430950.18;3430950.18
2241021;HOSPITAL TACCHINI;42879.0;42879.0;0.75;3391612.2;3391612.2
2252694;HOSPITAL ESCOLA DA UFPEL;109503.0;109503.0;0.67;3027802.56;3027802.56
2237857;ENDOCRIMETA MATRIZ;492870.0;492870.0;0.64;2874329.52;2874329.52
5384117;HOSPITAL SANTO ANTONIO TENENTE PORTELA;166086.0;153534.0;0.6;2992849.77;2701640.43
2259907;HOSPITAL REGIONAL DAS MISSOES;162171.0;143901.0;0.59;2961400.77;2677269.24
7513151;HOSPITAL RESTINGA E EXTREMO SUL;205464.0;205464.0;0.58;2577367.38;2637931.44
2265060;HOSPITAL CRISTO REDENTOR;114936.0;114936.0;0.57;2598657.18;2598657.18
9271805;ANALYSIS LABORATORIO;435474.0;435474.0;0.56;2540592.42;2540592.42
2818256;3 CRS PELOTAS;1540713.0;1079469.0;0.53;2470491.57;2415581.37
2237822;HOSPITAL MATERNO INFANTIL PRESIDENTE VARGAS;368544.0;368544.0;0.53;2400864.48;2400864.48
2232170;HOSPITAL DE PORTAO;171507.0;121899.0;0.53;2967102.51;2395174.2
