Codigo_CID;Nome_Diagnostico;Total_Procedimentos;Percentual_do_Filtro;Valor_Total_Aprovado;Valor_Total_Produzido
F840;F84.0 Autismo infantil;102426;29.91;1684586.04;2199461.76
F83;F83   Transt especificos misto do desenvolv;22287;6.51;414926.28;437022.42
F849;F84.9 Transt globais NE do desenvolv;24264;7.09;393603.87;632315.58
F710;F71.0 Mencao ausencia de ou compr minimo comport;17103;4.99;259474.53;351076.92
F848;F84.8 Outr transt globais do desenvolv;11856;3.46;251556.18;273074.79
F700;F70.0 Mencao ausencia de ou compr minimo comport;12192;3.56;233815.17;261390.24
F711;F71.1 Compr signif comport req vigilancia ou trat;6414;1.87;112485.24;143695.8
F790;F79.0 Mencao ausencia de ou compr minimo comport;4275;1.25;86940.15;93717.0
F900;F90.0 Disturbios da atividade e da atencao;6675;1.95;85030.62;91233.54
F720;F72.0 Mencao ausencia de ou compr minimo comport;2178;0.64;62833.83;71928.54
F411;F41.1 Ansiedade generalizada;9990;2.92;46089.33;52457.37
F99;F99   Transt mental NE em outr parte;11244;3.28;31573.02;45407.22
F718;F71.8 Outr comprometimentos do comport;1128;0.33;30250.29;32688.75
F721;F72.1 Compr signif comport req vigilancia ou trat;1536;0.45;29718.78;34042.59
F84;F84   Transt globais do desenvolv;3612;1.05;29486.58;30955.11
F200;F20.0 Esquizofrenia paranoide;22161;6.47;25888.92;26125.32
F841;F84.1 Autismo atipico;1776;0.52;22163.58;30692.46
F719;F71.9 S/mencao de compr do comport;654;0.19;19268.31;21683.76
F701;F70.1 Compr signif comport req vigilancia ou trat;1110;0.32;17940.69;21348.12
F03;F03   Demencia NE;357;0.1;14943.93;16861.5
