Codigo_CID;Nome_Diagnostico;Total_Procedimentos;Percentual
0000;CID NAO INFORMADO;139160;60.84
N180;N18.0 Doenc renal em estadio final;8248;3.61
H905;H90.5 Perda de audicao neuro-sensorial NE;6198;2.71
I516;I51.6 Doenc cardiovascular NE;4826;2.11
F849;F84.9 Transt globais NE do desenvolv;4499;1.97
R520;R52.0 Dor aguda;3009;1.32
F840;F84.0 Autismo infantil;2957;1.29
J450;CID NÃO IDENTIFICADO;2451;1.07
J450;J45.0 Asma predom alergica;2451;1.07
C501;C50.1 Porcao central da mama;2079;0.91
C500;C50.0 Mamilo e areola;2011;0.88
R529;R52.9 Dor NE;1905;0.83
C61;C61   Neopl malig da prostata;1823;0.8
M060;CID NÃO IDENTIFICADO;1484;0.65
M060;M06.0 Artrite reumatoide soro-negativa;1484;0.65
F710;F71.0 Mencao ausencia de ou compr minimo comport;1481;0.65
F700;F70.0 Mencao ausencia de ou compr minimo comport;1458;0.64
I64;I64   Acid vasc cerebr NE como hemorrag isquemico;1429;0.62
I739;I73.9 Doenc vasculares perifericas NE;1351;0.59
J440;J44.0 Doen pulm obs cron c/inf resp ag tr resp inf;1304;0.57
