Codigo_Municipio_Origem;Nome_Municipio_Origem;Total_Procedimentos;Percentual
431020;IJUI;108767;48.71
999999;INVALIDO;13949;6.25
431390;PANAMBI;10496;4.7
431115;JOIA;8160;3.65
430500;CATUIPE;6734;3.02
430600;CRISSIUMAL;5088;2.28
430150;AUGUSTO PESTANA;4684;2.1
430610;CRUZ ALTA;4115;1.84
431780;SANTO AUGUSTO;3738;1.67
431370;PALMEIRA DAS MISSOES;3456;1.55
430020;AJURICABA;3227;1.45
430570;CONDOR;3162;1.42
432190;TRES PASSOS;3037;1.36
431750;SANTO ANGELO;2622;1.17
430587;CORONEL BARROS;2143;0.96
430258;BOZANO;1892;0.85
431430;PEJUCARA;1785;0.8
431910;SAO MARTINHO;1676;0.75
431800;SAO BORJA;1609;0.72
431333;NOVA RAMADA;1502;0.67
431041;INHACORA;1396;0.63
430540;CHIAPETTA;1313;0.59
431890;SAO LUIZ GONZAGA;1212;0.54
430400;CAMPO NOVO;1151;0.52
431720;SANTA ROSA;1071;0.48
431000;IBIRUBA;1056;0.47
430590;CORONEL BICACO;981;0.44
430520;CERRO LARGO;859;0.38
431645;SALTO DO JACUI;845;0.38
431540;REDENTORA;803;0.36
