Sexo;Faixa_Etaria;Total_Procedimentos;Percentual
F;60+ anos;2584908;19.71
M;60+ anos;1914201;14.6
F;50-59 anos;1157997;8.83
F;40-49 anos;992988;7.57
F;30-39 anos;799344;6.1
F;20-29 anos;749796;5.72
M;50-59 anos;748713;5.71
I;60+ anos;676362;5.16
M;40-49 anos;594471;4.53
M;0-9 anos;500796;3.82
M;30-39 anos;470133;3.58
F;10-19 anos;424716;3.24
M;20-29 anos;403791;3.08
F;0-9 anos;375678;2.86
M;10-19 anos;352134;2.69
I;50-59 anos;71382;0.54
I;40-49 anos;69786;0.53
I;30-39 anos;67287;0.51
I;20-29 anos;63675;0.49
I;10-19 anos;50520;0.39
I;0-9 anos;45921;0.35
