Codigo_Procedimento;Total_Procedimentos;Percentual_do_Filtro;Valor_Total_Aprovado
0604780010;19827;37.93;0.0
0604780052;17766;33.99;0.0
0604820011;11757;22.49;0.0
0301060029;321;0.61;3928.05
0301060118;243;0.46;0.0
0301010072;237;0.45;2370.0
0301100012;222;0.42;156.87
0301010048;216;0.41;1115.1
0401010015;177;0.34;5054.4
0301060096;162;0.31;2310.0
0301060061;135;0.26;1287.0
0501050051;120;0.23;59632.8
0604780044;72;0.14;0.0
0302040021;69;0.13;322.23
0301010064;69;0.13;0.0
0301100039;60;0.11;0.0
0214010015;45;0.09;0.0
0202010317;39;0.07;72.15
0202010635;36;0.07;66.6
0202010694;36;0.07;66.6
